date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:40:03	22746/22746	---MCZ	200	added ('OK')	image/png	etag:W/%225e29d512-58da%22	https://retrobowl.blog/image/kategori/ikon/card-games_5e29aae231ef8.png	C:/Users/gugui/Downloads/slope_game/retrobowl.blog/image/kategori/ikon/card-games_5e29aae231ef8.png	(from https://lesson1.guru/go/slope.html)
20:40:03	10142/10142	---MCZ	200	added ('OK')	image/jpeg	etag:W/%225e29d8d0-279e%22	https://retrobowl.blog/image/kategori/ikon/cooking-food-games_5e29aea14c3ee.jpg	C:/Users/gugui/Downloads/slope_game/retrobowl.blog/image/kategori/ikon/cooking-food-games_5e29aea14c3ee.jpg	(from https://lesson1.guru/go/slope.html)
20:40:04	29992/29992	---MCZ	200	added ('OK')	image/jpeg	etag:W/%225e29db4c-7528%22	https://retrobowl.blog/image/kategori/ikon/fighting-games_5e29b11c88f43.jpg	C:/Users/gugui/Downloads/slope_game/retrobowl.blog/image/kategori/ikon/fighting-games_5e29b11c88f43.jpg	(from https://lesson1.guru/go/slope.html)
20:40:04	3756/3756	---MCZ	200	added ('OK')	image/png	etag:W/%225e29ddde-eac%22	https://retrobowl.blog/image/kategori/ikon/girl-games_5e29b3af4001c.png	C:/Users/gugui/Downloads/slope_game/retrobowl.blog/image/kategori/ikon/girl-games_5e29b3af4001c.png	(from https://lesson1.guru/go/slope.html)
20:40:04	4258/4258	---MCZ	200	added ('OK')	image/png	etag:W/%225e298614-10a2%22	https://retrobowl.blog/image/kategori/ikon/io-game_5e295be4d44fc.png	C:/Users/gugui/Downloads/slope_game/retrobowl.blog/image/kategori/ikon/io-game_5e295be4d44fc.png	(from https://lesson1.guru/go/slope.html)
20:40:04	12665/12665	---MCZ	200	added ('OK')	image/png	etag:W/%225e29e52a-3179%22	https://retrobowl.blog/image/kategori/ikon/motorbike-games_5e29bafae51bd.png	C:/Users/gugui/Downloads/slope_game/retrobowl.blog/image/kategori/ikon/motorbike-games_5e29bafae51bd.png	(from https://lesson1.guru/go/slope.html)
20:40:04	53796/53796	---MCZ	200	added ('OK')	image/jpeg	etag:W/%225e29e802-d224%22	https://retrobowl.blog/image/kategori/ikon/multiplayer-games_5e29bdd2baf3c.jpg	C:/Users/gugui/Downloads/slope_game/retrobowl.blog/image/kategori/ikon/multiplayer-games_5e29bdd2baf3c.jpg	(from https://lesson1.guru/go/slope.html)
20:40:05	3676/3676	---MCZ	200	added ('OK')	image/png	etag:W/%225e2a4b10-e5c%22	https://retrobowl.blog/image/kategori/ikon/puzzle-games_5e2a20e08bdf8.png	C:/Users/gugui/Downloads/slope_game/retrobowl.blog/image/kategori/ikon/puzzle-games_5e2a20e08bdf8.png	(from https://lesson1.guru/go/slope.html)
20:40:05	8480/8480	---MCZ	200	added ('OK')	image/jpeg	etag:W/%225e2a4f80-2120%22	https://retrobowl.blog/image/kategori/ikon/racing-games_5e2a255155ef5.jpg	C:/Users/gugui/Downloads/slope_game/retrobowl.blog/image/kategori/ikon/racing-games_5e2a255155ef5.jpg	(from https://lesson1.guru/go/slope.html)
20:40:05	2387/2387	---MCZ	200	added ('OK')	image/png	etag:W/%225e2a519a-953%22	https://retrobowl.blog/image/kategori/ikon/shooting-games_5e2a276bc8e45.png	C:/Users/gugui/Downloads/slope_game/retrobowl.blog/image/kategori/ikon/shooting-games_5e2a276bc8e45.png	(from https://lesson1.guru/go/slope.html)
20:40:05	3566/3566	---MCZ	200	added ('OK')	image/png	etag:W/%225e2a53e2-dee%22	https://retrobowl.blog/image/kategori/ikon/sports-games_5e2a29b317880.png	C:/Users/gugui/Downloads/slope_game/retrobowl.blog/image/kategori/ikon/sports-games_5e2a29b317880.png	(from https://lesson1.guru/go/slope.html)
20:40:06	2532/2532	---MCZ	200	added ('OK')	image/png	etag:W/%225e2a566c-9e4%22	https://retrobowl.blog/image/kategori/ikon/strategy-games_5e2a2c3c959af.png	C:/Users/gugui/Downloads/slope_game/retrobowl.blog/image/kategori/ikon/strategy-games_5e2a2c3c959af.png	(from https://lesson1.guru/go/slope.html)
20:40:06	2564/2564	---MCZ	200	added ('OK')	image/png	etag:W/%225e2a58ea-a04%22	https://retrobowl.blog/image/kategori/ikon/war-games_5e2a2eba28390.png	C:/Users/gugui/Downloads/slope_game/retrobowl.blog/image/kategori/ikon/war-games_5e2a2eba28390.png	(from https://lesson1.guru/go/slope.html)
20:40:06	128/128	---MC-	302	error ('Found')	text/html	date:Sat,%2028%20Sep%202024%2000:40:07%20GMT	https://npmcdn.com/isotope-layout@3/dist/isotope.pkgd.js	C:/Users/gugui/Downloads/slope_game/npmcdn.com/isotope-layout@3/dist/isotope.pkgd.21.delayed	(from https://lesson1.guru/go/slope.html)
20:40:06	91398/91398	---MCZ	200	added ('OK')	application/javascript	etag:W/%2216506-MQojGhhVA4UpfhQCgkKKBv62daY%22	https://npmcdn.com/isotope-layout@3.0.6/dist/isotope.pkgd.js	C:/Users/gugui/Downloads/slope_game/npmcdn.com/isotope-layout@3.0.6/dist/isotope.pkgd.js	(from https://lesson1.guru/go/slope.html)
20:40:07	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266f525c6-302c%22	https://lesson1.guru/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	C:/Users/gugui/Downloads/slope_game/lesson1.guru/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://lesson1.guru/go/slope.html)
20:40:08	113445/113445	---MCZ	200	added ('OK')	image/png	etag:W/%225e29824c-1bb25%22	https://lesson1.guru/assets/images/bg.png	C:/Users/gugui/Downloads/slope_game/lesson1.guru/assets/images/bg.png	(from https://lesson1.guru/assets/css/custom.css?1727483979)
20:40:08	382/382	---M--	200	added ('OK')	image/png	etag:%225e29824e-17e%22	https://lesson1.guru/assets/images/find-icon.png	C:/Users/gugui/Downloads/slope_game/lesson1.guru/assets/images/find-icon.png	(from https://lesson1.guru/assets/css/custom.css?1727483979)
